Identifiant;Nom;Type;Adresse;Code postal;Commune;Géolocalisation;Web;Accès transports en commun;Informations complémentaires;Gardien;Jeux pour enfants;Pataugeoire;Sanitaires;Sanitaires pour handicapés;Chiens autorisés;Jardin clos;Abris;Point d'eau;Table pique-nique
4595;Parc du Petit Port;Parc;Boulevard des Tribunes;44300;Nantes;47.2454910542, -1.55839467091;http://www.jardins.nantes.fr;"Ligne C2 Pont du Cens ; Ligne 25 Hippodrome";;NON;NON;NON;NON;NON;OUI;NON;NON;NON;OUI
1344;Parc de la Boucardière;Parc;54 Rue de l'Abbaye;44100;Nantes;47.201141267, -1.59763905984;http://www.jardins.nantes.fr;Bois Hardy Ligne 25 Gare de chantenay Ligne 81;;NON;OUI;NON;NON;NON;OUI;OUI;NON;OUI;NON
4601;Espace de jeux de Belle Ile;Parc;Rue de Coetquelfen;44300;Nantes;47.2449936504, -1.54179260331;http://www.jardins.nantes.fr;Ligne 2 Michelet / Ligne 23 Bonneville;;NON;OUI;NON;NON;OUI;OUI;NON;NON;NON;OUI
2372;Parc Floral de la Beaujoire;Parc;Route de Saint Joseph;44300;Nantes;47.2621589285, -1.53304266828;http://www.jardins.nantes.fr;Ligne 1 Beaujoire;Magnolias, Iris, Bruyères, Vivaces, Rosiers;OUI;OUI;NON;OUI;OUI;OUI;OUI;OUI;OUI;NON
4542;Le Parc des Oblates;Parc;Rue de la Brianderie;44100;Nantes;47.2003964961, -1.58503740068;http://www.jardins.nantes.fr;"Ligne 54 St Nicolas ; Ligne C1 Hérelle";;NON;NON;NON;NON;NON;OUI;OUI;NON;NON;NON
4596;Parc des Chantiers;Parc;Boulevard Léon Bureau;44200;Nantes;47.2067729388, -1.56619712051;;Ligne 1 Chantiers Navals;;NON;OUI;NON;NON;OUI;OUI;NON;NON;NON;OUI
3217;Square Gustave Roch;Parc;22 Boulevard Gustave Roch;44200;Nantes;47.2050803441, -1.54994737906;http://www.jardins.nantes.fr;"Wattignies Lignes 2 ; 3";;NON;OUI;NON;NON;NON;OUI;OUI;NON;NON;NON
3208;Square Charles Housset;Parc;Rue Charles Housset;44100;Nantes;47.2026323604, -1.60835729019;http://www.jardins.nantes.fr;Ligne 1 Lauriers;;NON;NON;NON;NON;NON;OUI;NON;NON;NON;NON
1519;Square Washington;Parc;Boulevard des Américains;44300;Nantes;47.2332069519, -1.57435821228;http://www.jardins.nantes.fr;;;;;;;;;;;;
4605;Jardin des Quatre Jeudis;Parc;Passage des Tauzins;44300;Nantes;47.2657324437, -1.52019745957;http://www.jardins.nantes.fr;Ligne 2 Place du Cirque / Ligne C6 Portricq;;NON;OUI;NON;NON;OUI;OUI;NON;NON;NON;NON
4087;Parc de l'Amande;Parc;Rue Eugène Thomas;44300;Nantes;47.2628439237, -1.57097204597;;;;;;;;;;;;;
1526;Square Gaston Michel;Parc;Boulevard des Américains;44300;Nantes;47.2349545052, -1.57148515017;http://www.jardins.nantes.fr;Américains Ligne C2;;NON;OUI;NON;NON;NON;NON;OUI;NON;NON;NON
4575;Cours Cambrone;Parc;Cours Cambronne;44000;Nantes;47.211930285, -1.56316982258;http://www.jardins.nantes.fr;Ligne 1 Médiathèque;;NON;NON;NON;OUI;NON;OUI;OUI;NON;NON;NON
4603;Jardin des Farfadets;Parc;Allée de Portricq;44300;Nantes;47.2669014667, -1.52149021733;http://www.jardins.nantes.fr;Ligne 2 Place du cirque / Ligne C6 Portricq;;NON;NON;NON;NON;NON;OUI;NON;NON;NON;NON
4579;Square du Lait de Mai;Parc;Passage Berthault;44000;Nantes;47.2121059754, -1.54834510513;http://www.jardins.nantes.fr;Ligne 2 Aimé Delrue;;NON;OUI;NON;NON;OUI;NON;OUI;NON;OUI;NON
3223;Parc Say;Parc;Rue Désiré Colombe;44100;Nantes;47.212489, -1.56841914167;http://www.jardins.nantes.fr;Jean V Ligne 11;;NON;NON;NON;NON;NON;OUI;NON;NON;NON;NON
1513;Square Amiral Halgand;Parc;Place de l'Hôtel de Ville;44000;Nantes;47.2173773606, -1.55446991933;http://www.jardins.nantes.fr;Hôtel de Ville Lignes 11 12 21 22 23 C LU;;NON;NON;NON;OUI;NON;OUI;OUI;NON;NON;NON
3224;Square du Vieux Parc de Sèvres;Parc;Bas Chemin de Vertou;44200;Nantes;47.1829653501, -1.51996422601;http://www.jardins.nantes.fr;Ligne 1 Duchenne Anne-Chateau / Ligne 4 Bourdonnière;;NON;OUI;NON;NON;NON;OUI;NON;NON;NON;NON
1533;Square Vertais;Parc;Rue Petite Biesse;44200;Nantes;47.2024567908, -1.5465630533;http://www.jardins.nantes.fr;Mangin 2 3 - Bourgault Ducou 42 B - bus C5 vincent gâche;;NON;OUI;NON;OUI;OUI;OUI;NON;NON;OUI;OUI
4594;Square Proust Bergson;Parc;Rue Henri Bergson;44300;Nantes;47.2543726506, -1.57082022659;http://www.jardins.nantes.fr;Ligne C2 Bout des Pavés;;NON;NON;NON;NON;NON;OUI;NON;NON;NON;NON
1520;Square des Combattants d'Afrique du Nord;Parc;Rue de la Brasserie;44100;Nantes;47.209224085, -1.57073762421;http://www.jardins.nantes.fr;René Bouhier Ligne 11;;NON;OUI;NON;NON;OUI;NON;OUI;NON;NON;NON
3220;Parc de Broussais;Parc;Boulevard Louis Millet;44300;Nantes;47.2265949506, -1.52183569985;http://www.jardins.nantes.fr;"Toutes Aides Lignes 12 70 ; Mairie de Doulon Ligne 1";;NON;OUI;NON;NON;OUI;OUI;NON;NON;NON;NON
1514;Square Augustin Fresnel;Parc;Rue Augustin Fresnel;44300;Nantes;47.2429857583, -1.5229144389;http://www.jardins.nantes.fr;Fresnel Ligne 21 11;;NON;OUI;NON;NON;OUI;OUI;NON;NON;NON;NON
1016;Jardin des Plantes;Parc;Rue Stanislas Baudry;44000;Nantes;47.2196587962, -1.54306316924;http://www.jardins.nantes.fr;Gare SNCF Lignes 1;Camelia, Epiphytes, Cactées;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;NON
4506;Square Louis Feuillade;Parc;Rue Jacques Feyder;44100;Nantes;47.2304219029, -1.58546799797;http://www.jardins.nantes.fr;Ligne 54 Petit Carcouet;;NON;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
1019;Parc de Procé;Parc;Boulevard des Anglais;44000;Nantes;47.2239152649, -1.58250853439;http://www.jardins.nantes.fr;Ligne C3 Procé;Collections : Bruyères, Rhododendrons, Magnolias, Andromèdes, Lis, Fuchsias, Dahlias,  Vivaces;OUI;OUI;NON;OUI;OUI;NON;OUI;NON;OUI;NON
4958;Pataugeoire du Clos-Toreau;Parc;Rue de Saint Jean de Luz;44200;Nantes;47.1947113608, -1.52802019598;;;;;;;;;;;;;
3205;Square du Prinquiau;Parc;Rue du Prinquiau;44100;Nantes;47.2121468427, -1.58707494696;http://www.jardins.nantes.fr;Conventions Lignes 11 70;;NON;OUI;NON;NON;OUI;NON;OUI;NON;NON;OUI
4598;Place Wattignies;Parc;Rue de l'Echappée;44200;Nantes;47.2037500627, -1.54802169483;http://www.jardins.nantes.fr;Wattignies Ligne 2;;NON;NON;NON;NON;NON;OUI;NON;NON;NON;NON
4577;Square Gabriel Chéreau;Parc;Rue d'Ancin;44000;Nantes;47.2110971671, -1.56276781802;http://www.jardins.nantes.fr;Ligne 1 Médiathèque;;NON;OUI;NON;NON;NON;OUI;OUI;NON;OUI;NON
1518;Square Commandant Lacroix;Parc;Rue de l'Hermitage;44100;Nantes;47.2034510129, -1.57589969442;http://www.jardins.nantes.fr;;;;;;;;;;;;
4587;Square Félix Thomas;Parc;Rue Toulmouche;44000;Nantes;47.2309738786, -1.55321281858;http://www.jardins.nantes.fr;Ligne 2 St Félix;;NON;OUI;NON;NON;OUI;NON;OUI;NON;NON;NON
155;Square Ile de Versailles;Parc;Quai Henri Barbusse;44000;Nantes;47.2261113482, -1.55431065628;http://www.jardins.nantes.fr;Saint Mihiel Ligne 2;;NON;OUI;NON;OUI;OUI;OUI;OUI;OUI;OUI;NON
4584;Square Canclaux;Parc;Place Canclaux;44100;Nantes;47.2143955032, -1.57446265866;http://www.jardins.nantes.fr;Canclaux Lignes 21 23 24 H;;NON;OUI;NON;NON;OUI;OUI;NON;NON;NON;NON
1508;Jardin d'Enfants de Procé;Parc;Rue des Dervallières;44100;Nantes;47.2222778714, -1.58154298005;http://www.jardins.nantes.fr;Ligne C3 Procé;;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;OUI;NON
